Round Number,Date,Location,Home Team,Away Team,Result
1,09/09/2018 10:00,U.S. Bank Stadium,Minnesota Vikings,San Francisco 49ers,24 - 16
2,16/09/2018 13:05,Levi's Stadium,San Francisco 49ers,Detroit Lions,30 - 27
3,23/09/2018 10:00,Arrowhead Stadium,Kansas City Chiefs,San Francisco 49ers,38 - 27
4,30/09/2018 13:25,StubHub Center,Los Angeles Chargers,San Francisco 49ers,29 - 27
5,07/10/2018 13:25,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,18 - 28
6,15/10/2018 17:15,Lambeau Field,Green Bay Packers,San Francisco 49ers,33 - 30
7,22/10/2018 01:25,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,10 - 39
8,28/10/2018 13:25,U of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,18 - 15
9,01/11/2018 17:20,Levi's Stadium,San Francisco 49ers,Oakland Raiders,34 - 3
10,12/11/2018 17:15,Levi's Stadium,San Francisco 49ers,New York Giants,23 - 27
12,25/11/2018 10:00,Raymond James Stadium,Tampa Bay Buccaneers,San Francisco 49ers,27 - 9
13,02/12/2018 13:25,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,43 - 16
14,09/12/2018 13:05,Levi's Stadium,San Francisco 49ers,Denver Broncos,20 - 14
15,16/12/2018 13:05,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,26 - 23
16,23/12/2018 13:05,Levi's Stadium,San Francisco 49ers,Chicago Bears,9 - 14
17,30/12/2018 13:25,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,48 - 32
