Round Number,Date,Location,Home Team,Away Team,Result
1,12/09/2016 19:20,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,28 - 0
2,18/09/2016 10:00,Bank of America Stadium,Carolina Panthers,San Francisco 49ers,46 - 27
3,25/09/2016 13:05,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,37 - 18
4,02/10/2016 13:25,Levi's Stadium,San Francisco 49ers,Dallas Cowboys,17 - 24
5,06/10/2016 17:25,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,21 - 33
6,16/10/2016 10:00,Ralph Wilson Stadium,Buffalo Bills,San Francisco 49ers,45 - 16
7,23/10/2016 13:05,Levi's Stadium,San Francisco 49ers,Tampa Bay Buccaneers,17 - 34
9,06/11/2016 13:05,Levi's Stadium,San Francisco 49ers,New Orleans Saints,23 - 41
10,13/11/2016 13:25,University of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,23 - 20
11,20/11/2016 13:25,Levi's Stadium,San Francisco 49ers,New England Patriots,17 - 30
12,27/11/2016 10:00,New Miami Stadium,Miami Dolphins,San Francisco 49ers,31 - 24
13,04/12/2016 10:00,Soldier Field,Chicago Bears,San Francisco 49ers,26 - 6
14,11/12/2016 13:05,Levi's Stadium,San Francisco 49ers,New York Jets,17 - 23
15,18/12/2016 13:05,Georgia Dome,Atlanta Falcons,San Francisco 49ers,41 - 13
16,24/12/2016 13:25,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,21 - 22
17,01/01/2017 13:25,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,23 - 25
